file;my-result;my-time;vanillaZ3-result;vanillaZ3-time;cvc5-result;cvc5-time;princess-result;princess-time;noodler-result;noodler-time;z3Str3-result;z3Str3-time
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_1.smt2;SAT;992;SAT;393;SAT;570;SAT;1574;SAT;409;SAT;362
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_10.smt2;SAT;658;SAT;464;SAT;967;SAT;2758;SAT;737;SAT;942
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_100.smt2;SAT;665;SAT;4590;UNKNOWN;10000;SAT;4140;SAT;863;SAT;830
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_101.smt2;SAT;782;SAT;441;SAT;589;SAT;2835;SAT;884;SAT;631
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_102.smt2;SAT;856;SAT;776;SAT;1091;SAT;1679;SAT;512;SAT;539
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_103.smt2;SAT;672;SAT;356;SAT;550;SAT;3109;SAT;582;SAT;444
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_104.smt2;SAT;813;SAT;457;SAT;622;SAT;2141;SAT;587;SAT;924
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_105.smt2;SAT;663;SAT;346;SAT;514;SAT;2088;SAT;389;SAT;415
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_106.smt2;SAT;770;SAT;540;SAT;784;SAT;1575;SAT;524;SAT;611
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_107.smt2;SAT;672;SAT;622;SAT;1140;SAT;3165;SAT;406;SAT;371
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_108.smt2;SAT;1137;SAT;405;SAT;562;SAT;1423;SAT;448;SAT;653
