file;my-result;my-time;vanillaZ3-result;vanillaZ3-time;cvc5-result;cvc5-time;princess-result;princess-time;noodler-result;noodler-time;z3Str3-result;z3Str3-time
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_1.smt2;SAT;1761;SAT;672;SAT;1514;SAT;1786;SAT;992;SAT;753
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_10.smt2;UNSAT;1581;UNSAT;585;UNSAT;723;UNSAT;2956;UNSAT;555;UNSAT;597
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_100.smt2;SAT;998;SAT;846;SAT;868;SAT;2216;SAT;530;SAT;434
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_101.smt2;UNSAT;921;UNSAT;644;UNSAT;867;UNSAT;2532;UNSAT;513;UNSAT;493
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_102.smt2;UNSAT;1023;UNSAT;1137;UNSAT;802;UNSAT;2447;UNSAT;827;UNSAT;839
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_103.smt2;UNSAT;711;UNSAT;353;UNSAT;733;UNSAT;2309;UNSAT;682;UNSAT;721
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_104.smt2;UNSAT;1227;UNSAT;915;UNSAT;667;UNSAT;3550;UNSAT;872;UNSAT;830
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_105.smt2;UNSAT;1183;UNSAT;640;UNSAT;1035;UNSAT;2482;UNSAT;455;UNSAT;374
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_106.smt2;SAT;781;SAT;931;SAT;1187;SAT;6070;SAT;1444;UNKNOWN;10000
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_107.smt2;SAT;1453;SAT;774;SAT;1429;SAT;2760;SAT;791;SAT;732
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_108.smt2;UNSAT;1296;UNSAT;998;UNSAT;693;UNSAT;2404;UNSAT;348;UNSAT;334
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_109.smt2;UNSAT;709;UNSAT;440;UNSAT;849;UNSAT;2290;UNSAT;639;UNSAT;434
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_11.smt2;UNSAT;1253;UNSAT;775;UNSAT;958;UNSAT;3444;UNSAT;599;UNSAT;790
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_110.smt2;SAT;950;SAT;1047;SAT;3361;SAT;9698;SAT;3004;UNKNOWN;10000
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_111.smt2;SAT;958;SAT;663;SAT;998;SAT;6079;SAT;1603;UNKNOWN;10000
